"Title";"Date";"Standard round";"Indoor";"Bow";"Arrow";"Round";"Distance";"Target";"End";"Timestamp";"Points";"Arrow numbers";"x";"y"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"1";"19:46:10.125";"9";"";"-0.058139563";"0.16976738"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"1";"19:46:10.125";"8";"";"-0.20916283";"0.17906976"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"1";"19:46:10.125";"8";"";"0.12801623";"-0.22790694"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"2";"19:50:31.347";"9";"";"-0.09767437";"-0.12325573"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"2";"19:50:31.347";"6";"";"-0.20697677";"-0.38848662"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"2";"19:50:31.347";"7";"";"-0.1697675";"0.2790699"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"3";"19:54:12.988";"7";"";"0.2160958";"-0.3023255"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"3";"19:54:12.988";"7";"";"0.28139532";"0.25"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"3";"19:54:12.988";"5";"";"0.4395349";"0.37209296"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"4";"19:57:36.281";"9";"";"0.11395347";"-0.15232563"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"4";"19:57:36.281";"8";"";"0.24186051";"-0.10465121"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"4";"19:57:36.281";"8";"";"0.28837204";"-0.039534807"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"5";"20:02:21.512";"9";"";"0.102045536";"0.10000014"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"5";"20:02:21.512";"8";"";"-0.032558203";"-0.25581384"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"5";"20:02:21.512";"7";"";"0.3347776";"-0.16511631"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"6";"20:05:26.748";"9";"";"0.10465121";"-0.088597775"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"6";"20:05:26.748";"9";"";"0.044185996";"0.15581393"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"6";"20:05:26.748";"6";"";"-0.12790704";"-0.45813942"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"7";"20:08:52.738";"9";"";"0.030232549";"0.17209315"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"7";"20:08:52.738";"6";"";"-0.056976795";"-0.4674418"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"7";"20:08:52.738";"4";"";"0.5930233";"-0.30930233"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"8";"20:12:11.481";"5";"";"0.13953483";"-0.5116279"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"8";"20:12:11.481";"7";"";"0.30697668";"0.16046524"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"8";"20:12:11.481";"7";"";"-0.24186051";"0.22325587"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"9";"20:16:05.518";"8";"";"0.1325581";"-0.18139529"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"9";"20:16:05.518";"8";"";"0.26279068";"-0.058139563"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"9";"20:16:05.518";"7";"";"0.22314513";"0.2860465"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"10";"20:19:51.07";"6";"";"-0.33629948";"0.30232573"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"10";"20:19:51.07";"8";"";"0.16046512";"0.19534898"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"10";"20:19:51.07";"9";"";"-0.120930195";"-0.15116286"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"11";"20:23:37.165";"9";"";"-0.09550297";"0.15581393"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"11";"20:23:37.165";"9";"";"0.046333194";"0.16744184"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"11";"20:23:37.165";"6";"";"-0.1697675";"0.40902662"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"12";"20:26:50.678";"10";"";"0.030232549";"0.032558203"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"12";"20:26:50.678";"7";"";"-0.0023255348";"-0.3348837"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"12";"20:26:50.678";"6";"";"0.0023255348";"0.4674418"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"13";"20:30:15.19";"7";"";"-0.33255816";"0.060465097"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"13";"20:30:15.19";"5";"";"0.010465145";"0.555814"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"13";"20:30:15.19";"8";"";"-0.06279075";"0.21162796"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"14";"20:33:40.809";"7";"";"-0.2860465";"0.16395354"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"14";"20:33:40.809";"7";"";"0.26395345";"-0.19534874"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"14";"20:33:40.809";"6";"";"-0.34651166";"-0.35930228"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"15";"20:37:24.266";"10";"";"0.034766793";"0.0"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"15";"20:37:24.266";"8";"";"-0.26279068";"-0.17209291"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"15";"20:37:24.266";"6";"";"0.32790697";"0.3069768"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"16";"20:40:27.86";"7";"";"-0.095348835";"-0.37209296"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"16";"20:40:27.86";"7";"";"0.21162784";"0.2906978"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"16";"20:40:27.86";"6";"";"-0.25116277";"0.39302325"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"17";"20:44:00.895";"9";"";"-0.08139539";"0.14186049"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"17";"20:44:00.895";"9";"";"0.07906973";"0.14418602"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"17";"20:44:00.895";"5";"";"0.1931392";"0.5395348"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"18";"20:48:38.955";"9";"";"-0.0069767237";"-0.09069753"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"18";"20:48:38.955";"8";"";"-0.032558203";"-0.26279068"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"18";"20:48:38.955";"5";"";"-0.016279101";"-0.54186034"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"19";"20:52:07.363";"9";"";"0.14534879";"-0.12325573"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"19";"20:52:07.363";"8";"";"-0.14186049";"-0.20232558"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"19";"20:52:07.363";"7";"";"0.32441854";"-0.018604517"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"20";"20:55:28.142";"7";"";"0.20232558";"-0.29999995"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"20";"20:55:28.142";"9";"";"-0.11162794";"0.14632916"
"Portsmouth 40cm F";"2022-11-04";"Portsmouth";"Indoor";"Club Bow";"";"1";"20yd";"WA Full (40cm)";"20";"20:55:28.142";"10";"";"0.0";"-0.0116279125"
